source_type,source_row_index,spotify_track_id,isrc,track_name,artist_names,duration_ms,event_time,time_range,rank,playlist_id,playlist_name,playlist_position,match_status,match_method,matched_ds001_id,matched_song,matched_artist,duration_delta_ms,reason,preference_weight
top_tracks,1,6JkioJZkImC4GRzgw5MGMO,GBUM71700956,Sgt. Pepper's Lonely Hearts Club Band - 2017 Mix,The Beatles,122133,,short_term,1,,,,unmatched,,,,,,no_ds001_candidate,50.000000
top_tracks,4,2zyxrWJaUgH1kNbcSnn4dC,DELE21612408,"Toccata & Fugue in D Minor, BWV 565 (Transc. I. Friedman): Fugue",Johann Sebastian Bach | Roberto Cominati,316746,,short_term,4,,,,unmatched,,,,,,no_ds001_candidate,12.500000
top_tracks,5,08XKCwMrwEAyyfTCTGkkhg,GBUM71700961,With A Little Help From My Friends - 2017 Mix,The Beatles,165293,,short_term,5,,,,unmatched,,,,,,no_ds001_candidate,10.000000
top_tracks,6,1T08XqfbOPbT4FbZe0s0pA,FROV62539704,Songs My Mother Taught Me (Arr. for Violin and Piano by Galy & Gonzalez Buajasan After Powell),Antonín Dvořák | Manon Galy | Jorge Gonzalez Buajasan,199480,,short_term,6,,,,unmatched,,,,,,no_ds001_candidate,8.333333
top_tracks,9,7u7iJ2Ib9hvID6XEa5Q0ip,GBUM71001044,In Dulce Jubilo (For Maureen),Mike Oldfield,166066,,short_term,9,,,,unmatched,,,,,,no_ds001_candidate,5.555556
top_tracks,10,0oE6A9bCTnQsT5lXFJxVzb,QZPLR2253103,"Married Life (from ""Up"")",Jacob's Piano,166622,,short_term,10,,,,unmatched,,,,,,no_ds001_candidate,5.000000
top_tracks,11,4gBxiDBESs2s2dgyUaqEWv,GBAAN8000013,Arc Of A Diver,Steve Winwood,328506,,short_term,11,,,,unmatched,,,,,,no_ds001_candidate,4.545455
top_tracks,13,03XVN6x6W02DZXqqPNH9Lr,GBAAN8000016,Dust,Steve Winwood,381333,,short_term,13,,,,unmatched,,,,,,no_ds001_candidate,3.846154
top_tracks,15,0kEDYd5bgOdo2yjTaXGMi4,GBUM71700963,Within You Without You - 2017 Mix,The Beatles,307586,,short_term,15,,,,unmatched,,,,,,no_ds001_candidate,3.333333
top_tracks,16,1vGfZYrNSxT72PdgToMubU,USRC16007151,Such a Night,Elvis Presley,181968,,short_term,16,,,,unmatched,,,,,,no_ds001_candidate,3.125000
top_tracks,19,5jFr0DzRfDI9QcQ9NG4ltE,DEF059430527,"Le nozze di Figaro, K. 492, Act II: No. 12, Voi che sapete",Wolfgang Amadeus Mozart | Cecilia Bartoli | Wiener Philharmoniker | Claudio Abbado,147000,,short_term,19,,,,unmatched,,,,,,no_ds001_candidate,2.631579
top_tracks,20,65mQIDMBEI6KsCPphwWKrK,GBUM71700947,Being For The Benefit Of Mr. Kite! - 2017 Mix,The Beatles,159200,,short_term,20,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,22,6b4BCZJT6W622djmunsBzl,USMR18930347,"Mission - Live In San Diego, California/1988",Rush,346466,,short_term,22,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,26,5NdzToomqRRxNSR0F0nUHg,GBBLY0606398,Music Box Dancer,Frank Mills,192360,,short_term,26,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,28,4gzLeEbCDmgK5XuhgXZt7x,GBUM71700951,Lovely Rita - 2017 Mix,The Beatles,165800,,short_term,28,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,29,0SH68QO8BDQpxezIZE91Ba,GBUM71700957,Sgt. Pepper's Lonely Hearts Club Band (Reprise) - 2017 Mix,The Beatles,80600,,short_term,29,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,30,0ldihDAaEYrlk68C4oSewz,GBUM71700950,Good Morning Good Morning - 2017 Mix,The Beatles,154466,,short_term,30,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,34,0l0wAg37zHIadmfSc282Hu,GBAYC9004998,"Sarasate: Spanish Dances, Op. 23: II. Zapateado (Allegro)",Pablo de Sarasate | Itzhak Perlman | Samuel Sanders,195973,,short_term,34,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,42,4xxn8GDqs7RUwgZTNznXNp,USWB19904166,Dueling Banjos,Eric Weissberg | Steve Mandell,194879,,short_term,42,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,45,6GzMz3s0K1YKwRVI36CgRx,HKI199610305,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Franz Liszt | Jenő Jandó,270000,,short_term,45,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,48,2st9kwCck5g6hjUwwRGQCE,GBAYC9503392,"Sarasate: Zigeunerweisen, Op. 20",Pablo de Sarasate | Itzhak Perlman | Abbey Road Ensemble,517706,,short_term,48,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,50,2UQaaIJqGD3k2FYV4mjt9Z,USAR29301259,Chaconne,Johann Sebastian Bach | Nathan Milstein,829053,,short_term,50,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,51,0zHc9jVOLmAONeZfUtqQ6H,KRB461800289,"La Campanella from the Violin Concerto No 2 in B Minor, Op. 7",Niccolò Paganini | Roman Kim | Jure Gorucan,392000,,short_term,51,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,55,1R9uNg9F6WINW53YMwG3GP,USRC16005322,"Dirty, Dirty Feeling",Elvis Presley,96566,,short_term,55,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,57,1dGIHdI2bkAyALXNMQ3s2R,USRC16007198,Make Me Know It,Elvis Presley,122311,,short_term,57,,,,unmatched,,,,,,no_ds001_candidate,2.500000
