score_rank,track_id,lead_genre,final_score,decision,playlist_position,exclusion_reason
1,phL12CBijBqwQ9qB,pop,0.735568,included,1,
2,2rf5nW2Fb8gMnz9l,pop,0.729766,included,2,
3,CZOYJJKuyuUosACw,classic rock,0.729308,included,3,
4,3ltMH5jik02hVLDF,classic rock,0.712092,included,4,
5,9jb6ZoImYLfUL8hu,pop,0.711238,included,5,
6,zyxOCKcXX1RmWpm0,pop,0.711062,excluded,,genre_cap_exceeded
7,Ja6sG7NsgUKEI63U,pop,0.710123,excluded,,genre_cap_exceeded
8,CavT1tWCp1sJDnbQ,pop,0.709378,excluded,,genre_cap_exceeded
9,Unm2k636mJk61Zcx,pop,0.703765,excluded,,genre_cap_exceeded
10,lGnkOkQSUQO175Qg,pop,0.7023,excluded,,genre_cap_exceeded
11,6k1oC4EwLjQjUFz7,pop,0.701223,excluded,,genre_cap_exceeded
12,2ulpfcMJfaKiFqZr,pop,0.700951,excluded,,genre_cap_exceeded
13,qWKJFJO5nFfEQuZM,pop,0.700428,excluded,,genre_cap_exceeded
14,ZBzCrWWH35yTPv8P,pop,0.699666,excluded,,genre_cap_exceeded
15,1FEjhaXK2amCXXzT,pop,0.697728,excluded,,genre_cap_exceeded
16,ALtYCqP0WNXBuQGi,pop,0.695951,excluded,,genre_cap_exceeded
17,lOFidX8Jxs0ViNRG,pop,0.695606,excluded,,genre_cap_exceeded
18,CaR8UnowNJUR5Dib,pop,0.6954,excluded,,genre_cap_exceeded
19,7dYk0TCGZqev3LJD,pop,0.694833,excluded,,genre_cap_exceeded
20,XsWkrl7dkqytg10B,classic rock,0.694314,included,6,
21,NQbNKyYkv5MxNeQy,pop,0.693597,excluded,,genre_cap_exceeded
22,7fLQBYLIBDBiCENj,pop,0.691911,excluded,,genre_cap_exceeded
23,V1h2Q8uHtnIqbahp,pop,0.691532,excluded,,genre_cap_exceeded
24,ODcj49nwgvXhA46v,pop,0.691125,excluded,,genre_cap_exceeded
25,7VDI0wKUupDGhZHo,classic rock,0.690881,excluded,,genre_cap_exceeded
26,ERa4IzQnBH8gAkXL,classic rock,0.690758,excluded,,genre_cap_exceeded
27,yEz9rqTTulkiDDm7,classic rock,0.688227,excluded,,genre_cap_exceeded
28,SjizDRrg3ZWU97wK,pop,0.686946,excluded,,genre_cap_exceeded
29,gSsZrpJsp2iHHP8W,pop,0.68669,excluded,,genre_cap_exceeded
30,8fDlJsjie4DoFMV0,pop,0.686457,excluded,,genre_cap_exceeded
31,uzzXWHcGTzC3ipD4,pop,0.686161,excluded,,genre_cap_exceeded
32,JjRXUBWaA0I7JZ4t,pop,0.685881,excluded,,genre_cap_exceeded
33,D8u1nCspnPIixiZa,classic rock,0.685712,excluded,,genre_cap_exceeded
34,vAULotbx5RBKgmA0,classic rock,0.68536,excluded,,genre_cap_exceeded
35,xx7AjP300BpGG3CX,classic rock,0.684777,excluded,,genre_cap_exceeded
36,5c9fu0pBIl9QUmed,pop,0.684595,excluded,,genre_cap_exceeded
37,oeKwh2lrTJigBR9I,pop,0.683964,excluded,,genre_cap_exceeded
38,YtpPCENWGLtSD3Oc,classic rock,0.683766,excluded,,genre_cap_exceeded
39,hNPvamPY2RDL4XwX,classic rock,0.682571,excluded,,genre_cap_exceeded
40,MiS8jiW75eCQr620,pop,0.681448,excluded,,genre_cap_exceeded
41,4Fe4T4jcEeWO0mau,classic rock,0.681201,excluded,,genre_cap_exceeded
42,kDIheYzp2bFdKzZx,classic rock,0.681158,excluded,,genre_cap_exceeded
43,EYfH7hlkwLa5ZYav,pop,0.681048,excluded,,genre_cap_exceeded
44,bY1z9WCAB0ymqD22,classic rock,0.67932,excluded,,genre_cap_exceeded
45,WAbTyx902fLAd8Q5,pop,0.679053,excluded,,genre_cap_exceeded
46,891C45L5wh1jWB8k,pop,0.678222,excluded,,genre_cap_exceeded
47,lzWsH3nUvP2dQEel,classic rock,0.678214,excluded,,genre_cap_exceeded
48,QwMeRrGC5WeHekZo,pop,0.677739,excluded,,genre_cap_exceeded
49,Keuox6QeZE3Su469,pop,0.676887,excluded,,genre_cap_exceeded
50,KarI5N2HGS3wgLrc,classic rock,0.676839,excluded,,genre_cap_exceeded
51,YP2V8yQHXIz9TxZn,classic rock,0.676118,excluded,,genre_cap_exceeded
52,XTKjxdE7YnSTKOuN,classic rock,0.674927,excluded,,genre_cap_exceeded
53,4P9s3Ny397GUNITy,classic rock,0.674768,excluded,,genre_cap_exceeded
54,juuPZKfA8dLDWsn9,classic rock,0.67361,excluded,,genre_cap_exceeded
55,C9oA7Glm1TItxpQA,pop,0.67053,excluded,,genre_cap_exceeded
56,JErdDAXcOTmC81xA,classic rock,0.670471,excluded,,genre_cap_exceeded
57,Kj5SnfDEQl2M7Xm9,classic rock,0.670354,excluded,,genre_cap_exceeded
58,R5QTSwYR0IDQ6w6c,classic rock,0.669341,excluded,,genre_cap_exceeded
59,sUzn7GZix4mpeUK4,classic rock,0.669341,excluded,,genre_cap_exceeded
60,rX7qhjhfQlLsJC4M,pop,0.668815,excluded,,genre_cap_exceeded
61,HxODXfAt0rb7ipxn,classic rock,0.668552,excluded,,genre_cap_exceeded
62,9B6dNFjeE90pp4x6,classic rock,0.668321,excluded,,genre_cap_exceeded
63,0KrfpITRYCMTHZno,pop,0.667872,excluded,,genre_cap_exceeded
64,6JvsoRF2a3K3nK1t,pop,0.667595,excluded,,genre_cap_exceeded
65,Oaw6u5QmPlTmtyhp,classic rock,0.667297,excluded,,genre_cap_exceeded
66,a7wc50gbFoAswwyJ,classic rock,0.666922,excluded,,genre_cap_exceeded
67,zp0LFbOG09bow7VL,classic rock,0.666821,excluded,,genre_cap_exceeded
68,PcmtMe5xMKb58ZTX,classic rock,0.666722,excluded,,genre_cap_exceeded
69,STQQY9CB4ccv4qWQ,classic rock,0.665797,excluded,,genre_cap_exceeded
70,0KmsAtX56jWKceiy,pop,0.665746,excluded,,genre_cap_exceeded
71,sWsei8U1DXTgn4sG,pop,0.665703,excluded,,genre_cap_exceeded
72,tOXtmwrEsLNkzmhf,classic rock,0.66492,excluded,,genre_cap_exceeded
73,5Yax8HzeaHHWZ5hp,classic rock,0.66466,excluded,,genre_cap_exceeded
74,AGt14n8F32uA3daL,classic rock,0.663876,excluded,,genre_cap_exceeded
75,4MsjH1TyTwZuZuOK,classic rock,0.663705,excluded,,genre_cap_exceeded
76,VPoN4aAgiWcagYy3,classic rock,0.663705,excluded,,genre_cap_exceeded
77,dmXJIr99KdvwkYxe,pop,0.663397,excluded,,genre_cap_exceeded
